"kereta","stasiun_awal","kota_kab_awal","stasiun_akhir","kota_kab_akhir"
"Kereta api Tegal Arum","Stasiun Jakarta Kota",,"Stasiun Tegal","Tegal"
"KRD Tanjung Priok-Cikampek","Stasiun Tanjung Priok",,"Stasiun Cikampek",
"KRD Tanjung Priok-Cikampek","Stasiun Tanjung Priok",,"Stasiun Purwakarta",
"Kereta api Rangkas Jaya","Stasiun Tanahabang",,"Stasiun Rangkasbitung",
"Kereta api Langsam","Stasiun Tanahabang",,"Stasiun Rangkasbitung",
"Kereta api Kalimaya","Stasiun Tanahabang",,"Stasiun Merak","Cilegon"
"Kereta api Argo Muria","Stasiun Semarang Tawang","Semarang","Stasiun Gambir",
"Kereta api Argo Lawu","Stasiun Solo Balapan","Surakarta","Stasiun Gambir",
"Kereta api Argo Dwipangga","Stasiun Solo Balapan","Surakarta","Stasiun Gambir",
"Kereta api Bangunkarta","Stasiun Jombang",,"Stasiun Gambir",
"Kereta api Bima","Stasiun Surabaya Gubeng","Surabaya","Stasiun Gambir",
"Kereta api Gajayana","Stasiun Malang","Malang","Stasiun Gambir",
"Kereta api Purwojaya","Stasiun Cilacap",,"Stasiun Gambir",
"Kereta api Sembrani","Stasiun Pasar Turi","Surabaya","Stasiun Gambir",
"Kereta api Taksaka","Stasiun Yogyakarta",,"Stasiun Gambir",
"Kereta api Argo Jati","Stasiun Cirebon","Cirebon","Stasiun Gambir",
"Kereta api Argo Sindoro","Stasiun Semarang Tawang","Semarang","Stasiun Gambir",
"Kereta api Argo Parahyangan","Stasiun Bandung",,"Stasiun Gambir",
"Kereta api Argo Bromo Anggrek","Stasiun Surabaya Pasar Turi",,"Stasiun Gambir",
"Kereta api New Argo Jati","Stasiun Cirebon","Cirebon","Stasiun Gambir",
"Kereta api Cirebon Ekspress","Stasiun Cirebon","Cirebon","Stasiun Gambir",
"Kereta api Cirebon Ekspress","Stasiun Tegal","Tegal","Stasiun Gambir",
"Kereta api Kamandanu","Stasiun Semarang Tawang","Semarang","Stasiun Jakarta Kota",
"Kereta api Serayu","Stasiun Kroya",,"Stasiun Jakarta Kota",
"Kereta api Gaya Baru Malam Selatan","Stasiun Surabaya Gubeng","Surabaya","Stasiun Jakarta Kota",
"Kereta api Patas Purwakarta","Stasiun Karawang",,"Stasiun Jakarta Kota",
"Kereta api Patas Purwakarta","Stasiun Cikampek",,"Stasiun Jakarta Kota",
"Kereta api Patas Purwakarta","Stasiun Purwakarta",,"Stasiun Jakarta Kota",
"Kereta api Gumarang","Stasiun Surabaya Pasarturi",,"Stasiun Pasar Senen",
"Kereta api Matarmaja","Stasiun Malang","Malang","Stasiun Pasar Senen",
"Kereta api Progo","Stasiun Lempuyangan","Yogyakarta","Stasiun Pasar Senen",
"Kereta api Senja Utama Solo","Stasiun Solo Balapan","Surakarta","Stasiun Pasar Senen",
"Kereta api Sawunggalih Utama","Stasiun Kutoarjo",,"Stasiun Pasar Senen",
"Kereta api Kutojaya Utara","Stasiun Kutoarjo",,"Stasiun Pasar Senen",
"Kereta api Senja Malang","Stasiun Malang","Malang","Stasiun Pasar Senen",
"Kereta api Singosari","Stasiun Malang","Malang","Stasiun Pasar Senen",
"Kereta api Majapahit","Stasiun Malang","Malang","Stasiun Pasar Senen",
"Kereta api Fajar Utama Semarang","Stasiun Semarang Tawang","Semarang","Stasiun Pasar Senen",
"Kereta api Kertajaya","Stasiun Surabaya Pasarturi",,"Stasiun Tanjung Priok",
"Kereta api Brantas","Stasiun Kediri",,"Stasiun Tanjung Priok",
"Kereta api Senja Bengawan","Stasiun Solo Jebres","Surakarta","Stasiun Tanjung Priok",
